filename, language, JSON, Properties, Markdown, JavaScript, TypeScript, HTML, CSS, comment, blank, total
.editorconfig, Properties, 0, 10, 0, 0, 0, 0, 0, 1, 3, 14
.eslintrc.json, JSON, 33, 0, 0, 0, 0, 0, 0, 0, 0, 33
README.md, Markdown, 0, 0, 14, 0, 0, 0, 0, 0, 14, 28
angular.json, JSON, 96, 0, 0, 0, 0, 0, 0, 20, 0, 116
backend\app.js, JavaScript, 0, 0, 0, 37, 0, 0, 0, 0, 8, 45
backend\middleware\check-auth.js, JavaScript, 0, 0, 0, 13, 0, 0, 0, 0, 2, 15
backend\models\post.js, JavaScript, 0, 0, 0, 8, 0, 0, 0, 0, 3, 11
backend\models\user.js, JavaScript, 0, 0, 0, 8, 0, 0, 0, 0, 4, 12
backend\routes\posts.js, JavaScript, 0, 0, 0, 121, 0, 0, 0, 0, 11, 132
backend\routes\user.js, JavaScript, 0, 0, 0, 61, 0, 0, 0, 0, 6, 67
e2e\protractor.conf.js, JavaScript, 0, 0, 0, 24, 0, 0, 0, 6, 2, 32
e2e\src\app.e2e-spec.ts, TypeScript, 0, 0, 0, 0, 18, 0, 0, 1, 5, 24
e2e\src\app.po.ts, TypeScript, 0, 0, 0, 0, 9, 0, 0, 0, 3, 12
e2e\tsconfig.json, JSON, 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
karma.conf.js, JavaScript, 0, 0, 0, 29, 0, 0, 0, 2, 2, 33
package-lock.json, JSON, 14014, 0, 0, 0, 0, 0, 0, 0, 1, 14015
package.json, JSON, 60, 0, 0, 0, 0, 0, 0, 0, 1, 61
server.js, JavaScript, 0, 0, 0, 42, 0, 0, 0, 2, 9, 53
src\app\app.component.css, CSS, 0, 0, 0, 0, 0, 0, 4, 0, 1, 5
src\app\app.component.html, HTML, 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
src\app\app.component.spec.ts, TypeScript, 0, 0, 0, 0, 27, 0, 0, 0, 5, 32
src\app\app.component.ts, TypeScript, 0, 0, 0, 0, 13, 0, 0, 0, 4, 17
src\app\app.module.ts, TypeScript, 0, 0, 0, 0, 50, 0, 0, 0, 4, 54
src\app\app.routing.module.ts, TypeScript, 0, 0, 0, 0, 21, 0, 0, 0, 5, 26
src\app\auth\auth-data.model.ts, TypeScript, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
src\app\auth\auth-interceptor.ts, TypeScript, 0, 0, 0, 0, 14, 0, 0, 1, 3, 18
src\app\auth\auth.guard.ts, TypeScript, 0, 0, 0, 0, 21, 0, 0, 0, 4, 25
src\app\auth\auth.service.ts, TypeScript, 0, 0, 0, 0, 101, 0, 0, 0, 16, 117
src\app\auth\login\login.component.css, CSS, 0, 0, 0, 0, 0, 0, 6, 0, 2, 8
src\app\auth\login\login.component.html, HTML, 0, 0, 0, 0, 0, 37, 0, 0, 1, 38
src\app\auth\login\login.component.ts, TypeScript, 0, 0, 0, 0, 20, 0, 0, 0, 4, 24
src\app\auth\signup\signup.component.css, CSS, 0, 0, 0, 0, 0, 0, 6, 0, 2, 8
src\app\auth\signup\signup.component.html, HTML, 0, 0, 0, 0, 0, 37, 0, 0, 1, 38
src\app\auth\signup\signup.component.ts, TypeScript, 0, 0, 0, 0, 20, 0, 0, 0, 4, 24
src\app\header\header.component.css, CSS, 0, 0, 0, 0, 0, 0, 15, 0, 4, 19
src\app\header\header.component.html, HTML, 0, 0, 0, 0, 0, 24, 0, 0, 1, 25
src\app\header\header.component.ts, TypeScript, 0, 0, 0, 0, 26, 0, 0, 0, 8, 34
src\app\posts\post-create\mime-type.validator.ts, TypeScript, 0, 0, 0, 0, 46, 0, 0, 2, 3, 51
src\app\posts\post-create\post-create.component.css, CSS, 0, 0, 0, 0, 0, 0, 17, 0, 5, 22
src\app\posts\post-create\post-create.component.html, HTML, 0, 0, 0, 0, 0, 41, 0, 0, 3, 44
src\app\posts\post-create\post-create.component.ts, TypeScript, 0, 0, 0, 0, 96, 0, 0, 0, 7, 103
src\app\posts\post-list\post-list.component.css, CSS, 0, 0, 0, 0, 0, 0, 20, 0, 6, 26
src\app\posts\post-list\post-list.component.html, HTML, 0, 0, 0, 0, 0, 28, 0, 0, 1, 29
src\app\posts\post-list\post-list.component.ts, TypeScript, 0, 0, 0, 0, 56, 0, 0, 5, 8, 69
src\app\posts\post.model.ts, TypeScript, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
src\app\posts\posts.service.ts, TypeScript, 0, 0, 0, 0, 83, 0, 0, 0, 10, 93
src\environments\environment.prod.ts, TypeScript, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
src\environments\environment.ts, TypeScript, 0, 0, 0, 0, 3, 0, 0, 11, 3, 17
src\index.html, HTML, 0, 0, 0, 0, 0, 15, 0, 0, 2, 17
src\main.ts, TypeScript, 0, 0, 0, 0, 10, 0, 0, 0, 4, 14
src\polyfills.ts, TypeScript, 0, 0, 0, 0, 1, 0, 0, 55, 8, 64
src\styles.css, CSS, 0, 0, 0, 0, 0, 0, 2, 1, 2, 5
src\test.ts, TypeScript, 0, 0, 0, 0, 13, 0, 0, 4, 4, 21
tsconfig.app.json, JSON, 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
tsconfig.json, JSON, 26, 0, 0, 0, 0, 0, 0, 0, 1, 27
tsconfig.spec.json, JSON, 18, 0, 0, 0, 0, 0, 0, 0, 1, 19
tslint.json, JSON, 92, 0, 0, 0, 0, 0, 0, 0, 0, 92
Total, -, 14366, 10, 14, 343, 661, 186, 70, 111, 217, 15978